znacka	stare	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
ŠKODA	738	2	28	88	251	125	156	131	83	73	73	226	697	1146	1495	1420	2792	2113	2587	1653	2072	2494	3890	4882	6722	6845	6197	6758	6443	4992	8637	9328	8064	9488	9482	10987	10745	9058	7621	11720	13304	14384	14453	13603	14792	20291	26100	8281	17494	23900	20590	47887	64429	91741	80531	84095	91925	89707	86235	85653	73676	68938	61686	57484	51556	51074	55032	52391	49849	46962	32245
SMART	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	193	201	97	27	315	375	321	198	142	147	82	86	87	74	72	30
SSANGYONG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	6	5	83	215	137	63	44	22	17	11	40	88	131	95	41	39	9	23	18	17	5
SUBARU	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	6	6	11	10	42	68	119	168	113	115	127	139	154	252	302	429	667	859	985	1030	690	524	608	602	621	794	839	729	980	1121	1294	958	926	814	419
SUZUKI	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	16	33	42	44	86	218	255	411	453	497	620	663	852	830	681	943	1454	1818	2593	3001	2874	2251	2460	2483	1721	2517	3243	4230	4150	3336	2744	2910	2345	2272	1275
TATRA	1175	7	106	83	70	65	63	42	51	0	10	1	3	35	42	59	97	109	95	32	43	66	57	81	119	176	140	134	165	162	154	89	135	129	81	58	79	53	39	19	35	26	59	65	67	74	35	60	46	41	23	18	21	14	2	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
TOYOTA	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	63	2	1	4	3	3	11	9	16	23	58	55	49	33	59	200	307	375	464	429	722	888	706	761	1133	1465	2152	2758	3014	4276	4449	3475	4785	5405	5239	5049	5757	5858	5755	4683	4827	3981	3952	4121	2216
TRABANT	9	0	0	0	0	0	0	0	0	0	0	0	2	13	0	0	9	3	3	48	151	394	937	880	947	823	911	2160	2085	1952	1203	1295	1353	460	1180	1659	1487	1201	386	30	94	3	9	3	3	7	17	16	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VAZ	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	5	1	1	8	1250	2093	3909	5156	5077	4651	4905	5101	3905	3082	1173	581	736	1643	1443	2456	1087	1599	1784	1662	90	141	242	144	272	656	227	241	284	186	233	273	104	30	36	16	17	7	2	1	3	0	2	3
VOLHA	8	0	0	0	0	0	0	0	1	0	0	1	2	0	94	89	80	71	81	94	102	202	115	157	216	92	116	192	207	231	214	202	258	294	193	280	263	62	48	42	5	3	66	50	79	79	59	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VOLKSWAGEN	68	3	2	2	0	2	6	3	10	7	20	34	31	37	38	62	105	101	134	169	207	176	112	107	109	187	117	124	120	124	124	164	271	562	732	966	653	614	356	263	581	1704	1956	1714	1505	1812	2247	2963	4379	4490	6312	11362	15534	17313	24858	25045	23005	21508	17890	18125	17635	17173	17367	16009	15470	14240	13218	13664	12881	10986	8336
VOLVO	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	4	0	2	4	3	2	2	8	8	4	6	7	8	17	21	21	31	51	41	43	40	45	30	151	141	118	130	103	137	131	160	167	258	424	859	1255	1647	1567	2003	1692	1811	2081	2158	2008	1830	2226	2002	2320	2134	2029	1704	1464	853
VOZIDLO	14	0	0	0	0	1	0	1	0	1	0	0	0	0	1	2	1	2	0	0	1	2	5	7	8	15	14	17	29	28	47	51	63	83	149	174	172	254	282	272	419	634	49	50	51	47	42	63	34	17	17	1	0	0	0	0	0	0	0	1	0	5	3	2	0	0	0	0	0	0	0
WARTBURG	19	0	0	0	2	0	1	0	1	0	2	2	103	282	313	235	300	259	297	301	235	81	306	247	524	360	450	488	795	753	853	833	1091	212	973	1425	647	70	138	178	163	249	2	8	9	69	22	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ZASTAVA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	1	2	3	3	3	2	6	3	6	242	254	221	284	256	4	5	3	2	0	4	1	4	1	3	8	20	72	9	1	1	0	3	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ŽUK	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	68	24	47	72	79	97	89	97	100	136	111	141	119	70	4	4	1	1	1	0	2	0	3	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VŠE	5414	28	159	236	442	253	320	202	178	101	149	365	1028	2081	2509	2533	4432	3551	4184	3518	4731	5101	7349	8213	11221	12244	11338	15543	16383	16137	20944	21783	19372	21335	22929	23881	20740	15244	11935	15901	21010	30368	34959	34828	37320	44816	54024	41499	55619	61398	66089	124065	191506	255554	262746	287327	271727	240389	235632	242701	215221	209061	192318	193865	191035	181856	175497	168579	156589	142591	95813
